ID_End,Estado,Sigla,Cidade,Bairro
42,Acre,AC,Nunes de da Costa,Viela Cecília Moreira
43,Acre,AC,Nunes de da Costa,Vereda de da Cruz
44,Acre,AC,Nunes de da Costa,Área Otávio Nogueira
45,Acre,AC,Nunes de da Costa,Pátio Gabriela Moreira
46,Acre,AC,Nunes,Lagoa Theo Ribeiro
47,Acre,AC,Nunes,Esplanada de Costa
48,Acre,AC,Nunes,Favela de da Rocha
49,Acre,AC,Nunes,Trecho de Freitas
50,Acre,AC,Nunes,Via da Luz
51,Acre,AC,Cavalcanti,Travessa Sales
52,Acre,AC,Cavalcanti,Colônia de da Rocha
53,Acre,AC,Cavalcanti,Lagoa Clarice da Rosa
54,Acre,AC,Cavalcanti,Vereda de Campos
55,Acre,AC,Cavalcanti,Pátio Jesus
56,Acre,AC,Cardoso,Área Martins
57,Acre,AC,Cardoso,Parque Rocha
58,Acre,AC,Cardoso,Praia Luana Novaes
59,Acre,AC,Cardoso,Estrada Nogueira
60,Acre,AC,Cardoso,Vereda Teixeira
61,Acre,AC,Almeida dos Dourados,Parque de Silveira
62,Acre,AC,Almeida dos Dourados,Praça Araújo
63,Acre,AC,Almeida dos Dourados,Conjunto de Monteiro
64,Acre,AC,Almeida dos Dourados,Estrada de Castro
65,Acre,AC,Almeida dos Dourados,Largo Maria Eduarda Pinto
66,Acre,AC,Cunha Alegre,Praia Pinto
67,Acre,AC,Cunha Alegre,Núcleo Matheus Duarte
68,Acre,AC,Cunha Alegre,Ladeira de Moraes
69,Acre,AC,Cunha Alegre,Colônia de Ferreira
70,Acre,AC,Cunha Alegre,Parque de Monteiro
71,Acre,AC,Castro das Pedras,Largo Luiz Felipe Silva
72,Acre,AC,Castro das Pedras,Distrito Cauê Cavalcanti
73,Acre,AC,Castro das Pedras,Travessa Juan Aragão
74,Acre,AC,Castro das Pedras,Largo de Mendes
75,Acre,AC,Castro das Pedras,Vale da Cunha
76,Acre,AC,Martins,Condomínio Cunha
77,Acre,AC,Martins,Condomínio de Barros
78,Acre,AC,Martins,Jardim Mendes
79,Acre,AC,Martins,Sítio Davi Luiz Vieira
80,Acre,AC,Martins,Alameda Luiza da Rosa
81,Acre,AC,Oliveira da Mata,Lago Yago Silva
82,Acre,AC,Oliveira da Mata,Recanto da Mata
83,Acre,AC,Oliveira da Mata,Favela Carvalho
84,Acre,AC,Oliveira da Mata,Travessa de Alves
85,Acre,AC,Oliveira da Mata,Loteamento de Freitas
86,Acre,AC,Campos do Galho,Jardim Correia
87,Acre,AC,Campos do Galho,Chácara de Rocha
88,Acre,AC,Campos do Galho,Estrada Castro
89,Acre,AC,Campos do Galho,Morro Maria Clara Carvalho
90,Acre,AC,Campos do Galho,Fazenda de Cunha
91,Acre,AC,das Neves de Porto,Morro de Martins
92,Acre,AC,das Neves de Porto,Largo Giovanna Monteiro
93,Acre,AC,das Neves de Porto,Avenida da Cunha
94,Acre,AC,das Neves de Porto,Vale Isabella Rezende
95,Acre,AC,das Neves de Porto,Fazenda Ana Luiza Azevedo
96,Acre,AC,Cardoso,Chácara Alexia Rezende
97,Acre,AC,Cardoso,Passarela de Barros
98,Acre,AC,Cardoso,Chácara Silva
99,Acre,AC,Cardoso,Loteamento Monteiro
100,Acre,AC,Cardoso,Colônia de Campos
101,Alagoas,AL,Pinto,Viela de Pinto
102,Alagoas,AL,Pinto,Travessa de Campos
103,Alagoas,AL,Pinto,Vereda Caldeira
104,Alagoas,AL,Pinto,Praça Renan da Mata
105,Alagoas,AL,Pinto,Parque Nunes
106,Alagoas,AL,Cunha das Pedras,Parque de Cavalcanti
107,Alagoas,AL,Cunha das Pedras,Recanto Natália Mendes
108,Alagoas,AL,Cunha das Pedras,Distrito de Monteiro
109,Alagoas,AL,Cunha das Pedras,Estrada Aragão
110,Alagoas,AL,Cunha das Pedras,Estrada de Moura
111,Alagoas,AL,Barbosa,Esplanada Barbosa
112,Alagoas,AL,Barbosa,Núcleo Laís Fernandes
113,Alagoas,AL,Barbosa,Rodovia Silveira
114,Alagoas,AL,Barbosa,Residencial Maria Vitória Gomes
115,Alagoas,AL,Barbosa,Recanto de da Costa
116,Alagoas,AL,da Mata de Goiás,Parque de Ribeiro
117,Alagoas,AL,da Mata de Goiás,Trevo Camila Nunes
118,Alagoas,AL,da Mata de Goiás,Residencial Alice da Luz
119,Alagoas,AL,da Mata de Goiás,Recanto Yasmin da Cunha
120,Alagoas,AL,da Mata de Goiás,Lagoa Cavalcanti
121,Alagoas,AL,Rocha Paulista,Rua Mariane Pinto
122,Alagoas,AL,Rocha Paulista,Rua de da Mata
123,Alagoas,AL,Rocha Paulista,Travessa de Barbosa
124,Alagoas,AL,Rocha Paulista,Área de Lopes
125,Alagoas,AL,Rocha Paulista,Vereda Gabrielly Novaes
126,Alagoas,AL,Moreira das Flores,Setor Nunes
127,Alagoas,AL,Moreira das Flores,Largo Carlos Eduardo Fogaça
128,Alagoas,AL,Moreira das Flores,Setor de Porto
129,Alagoas,AL,Moreira das Flores,Favela das Neves
130,Alagoas,AL,Moreira das Flores,Largo Igor Freitas
131,Alagoas,AL,Oliveira,Passarela de Porto
132,Alagoas,AL,Oliveira,Estrada Alves
133,Alagoas,AL,Oliveira,Parque Isabella Nunes
134,Alagoas,AL,Oliveira,Pátio Monteiro
135,Alagoas,AL,Oliveira,Recanto de Lima
136,Alagoas,AL,Teixeira do Campo,Área Raquel da Paz
137,Alagoas,AL,Teixeira do Campo,Rua Araújo
138,Alagoas,AL,Teixeira do Campo,Avenida Yuri da Luz
139,Alagoas,AL,Teixeira do Campo,Sítio Dias
140,Alagoas,AL,Teixeira do Campo,Distrito de Castro
141,Alagoas,AL,da Costa das Flores,Aeroporto Carvalho
142,Alagoas,AL,da Costa das Flores,Vale Enzo da Mata
143,Alagoas,AL,da Costa das Flores,Conjunto Kamilly Pires
144,Alagoas,AL,da Costa das Flores,Pátio Henrique Carvalho
145,Alagoas,AL,da Costa das Flores,Estação de Duarte
146,Alagoas,AL,Nogueira de da Cruz,Viaduto Stella Cardoso
147,Alagoas,AL,Nogueira de da Cruz,Trecho de Moraes
148,Alagoas,AL,Nogueira de da Cruz,Vereda Ana Julia Dias
149,Alagoas,AL,Nogueira de da Cruz,Viela Sales
150,Alagoas,AL,Nogueira de da Cruz,Trevo Marina da Cunha
151,Alagoas,AL,das Neves,Área Cardoso
152,Alagoas,AL,das Neves,Passarela Beatriz Pinto
153,Alagoas,AL,das Neves,Esplanada Ana Clara Viana
154,Alagoas,AL,das Neves,Esplanada de Castro
155,Alagoas,AL,das Neves,Trevo de Rocha
156,Alagoas,AL,da Luz,Lagoa de Costa
157,Alagoas,AL,da Luz,Fazenda de Monteiro
158,Alagoas,AL,da Luz,Estação Pedro Miguel Peixoto
159,Alagoas,AL,da Luz,Área de Nunes
160,Alagoas,AL,da Luz,Colônia Almeida
161,Alagoas,AL,Silva,Vereda Cardoso
162,Alagoas,AL,Silva,Colônia de Correia
163,Alagoas,AL,Silva,Loteamento de Campos
164,Alagoas,AL,Silva,Travessa Rodrigues
165,Alagoas,AL,Silva,Jardim de Moreira
166,Alagoas,AL,Teixeira de Correia,Passarela da Rosa
167,Alagoas,AL,Teixeira de Correia,Condomínio Luiz Henrique da Paz
168,Alagoas,AL,Teixeira de Correia,Praia Daniela Nascimento
169,Alagoas,AL,Teixeira de Correia,Pátio de Campos
170,Alagoas,AL,Teixeira de Correia,Núcleo Yasmin Nunes
171,Alagoas,AL,Silveira,Alameda de Rodrigues
172,Alagoas,AL,Silveira,Campo Nicolas Rezende
173,Alagoas,AL,Silveira,Estrada Esther Lima
174,Alagoas,AL,Silveira,Aeroporto de da Mota
175,Alagoas,AL,Silveira,Loteamento Juan Fogaça
176,Alagoas,AL,Peixoto,Vereda Cardoso
177,Alagoas,AL,Peixoto,Avenida de Moreira
178,Alagoas,AL,Peixoto,Jardim Monteiro
179,Alagoas,AL,Peixoto,Morro Porto
180,Alagoas,AL,Peixoto,Aeroporto de Santos
181,Alagoas,AL,Barros de Costela,Jardim Santos
182,Alagoas,AL,Barros de Costela,Quadra Alves
183,Alagoas,AL,Barros de Costela,Alameda de Duarte
184,Alagoas,AL,Barros de Costela,Vereda de Almeida
185,Alagoas,AL,Barros de Costela,Avenida de Freitas
186,Alagoas,AL,Costela das Flores,Fazenda de Melo
187,Alagoas,AL,Costela das Flores,Pátio Valentina da Mata
188,Alagoas,AL,Costela das Flores,Ladeira de Cunha
189,Alagoas,AL,Costela das Flores,Morro Cardoso
190,Alagoas,AL,Costela das Flores,Conjunto de Farias
191,Alagoas,AL,Souza do Amparo,Área da Paz
192,Alagoas,AL,Souza do Amparo,Avenida Isabella Porto
193,Alagoas,AL,Souza do Amparo,Estrada Nicolas da Paz
194,Alagoas,AL,Souza do Amparo,Setor Cauê Correia
195,Alagoas,AL,Souza do Amparo,Trevo André Nascimento
196,Alagoas,AL,Rezende de Lima,Vereda de Mendes
197,Alagoas,AL,Rezende de Lima,Favela Jesus
198,Alagoas,AL,Rezende de Lima,Travessa Carolina Souza
199,Alagoas,AL,Rezende de Lima,Campo Castro
200,Alagoas,AL,Rezende de Lima,Chácara de Araújo
201,Amapá,AP,Viana,Esplanada Luiza da Mota
202,Amapá,AP,Viana,Área de da Paz
203,Amapá,AP,Viana,Favela Miguel Teixeira
204,Amapá,AP,Viana,Pátio de Lima
205,Amapá,AP,Viana,Feira de Freitas
206,Amapá,AP,Peixoto da Serra,Praça Theo Rocha
207,Amapá,AP,Peixoto da Serra,Feira Souza
208,Amapá,AP,Peixoto da Serra,Sítio Araújo
209,Amapá,AP,Peixoto da Serra,Trecho Caroline Pereira
210,Amapá,AP,Peixoto da Serra,Área Kevin da Rocha
211,Amapá,AP,Cardoso da Mata,Sítio Laís Cardoso
212,Amapá,AP,Cardoso da Mata,Morro Vitor Hugo Dias
213,Amapá,AP,Cardoso da Mata,Avenida da Costa
214,Amapá,AP,Cardoso da Mata,Vale da Mata
215,Amapá,AP,Cardoso da Mata,Viela Brenda Pinto
216,Amapá,AP,Rezende da Prata,Praia Calebe Vieira
217,Amapá,AP,Rezende da Prata,Trevo Marcos Vinicius Silveira
218,Amapá,AP,Rezende da Prata,Rodovia Maria Luiza Cavalcanti
219,Amapá,AP,Rezende da Prata,Vereda Farias
220,Amapá,AP,Rezende da Prata,Praia Cunha
221,Amapá,AP,Silveira do Norte,Largo de Caldeira
222,Amapá,AP,Silveira do Norte,Rodovia de Silva
223,Amapá,AP,Silveira do Norte,Feira de Azevedo
224,Amapá,AP,Silveira do Norte,Distrito Alana Campos
225,Amapá,AP,Silveira do Norte,Trecho de da Mota
226,Amapá,AP,da Costa da Mata,Rodovia da Rosa
227,Amapá,AP,da Costa da Mata,Avenida Teixeira
228,Amapá,AP,da Costa da Mata,Conjunto de Jesus
229,Amapá,AP,da Costa da Mata,Rua Maria Fernanda Teixeira
230,Amapá,AP,da Costa da Mata,Área da Luz
231,Amapá,AP,Lima Paulista,Condomínio de Ramos
232,Amapá,AP,Lima Paulista,Residencial Farias
233,Amapá,AP,Lima Paulista,Vale de Monteiro
234,Amapá,AP,Lima Paulista,Lagoa Enzo Gabriel Nascimento
235,Amapá,AP,Lima Paulista,Conjunto de Fogaça
236,Amapá,AP,Peixoto,Residencial Alves
237,Amapá,AP,Peixoto,Passarela Elisa Cardoso
238,Amapá,AP,Peixoto,Feira de Nascimento
239,Amapá,AP,Peixoto,Conjunto Pinto
240,Amapá,AP,Peixoto,Campo de Moraes
241,Amapá,AP,Oliveira,Largo de Peixoto
242,Amapá,AP,Oliveira,Trecho Leonardo da Paz
243,Amapá,AP,Oliveira,Vila Mariane Rodrigues
244,Amapá,AP,Oliveira,Estação de Moraes
245,Amapá,AP,Oliveira,Viela Benjamin Oliveira
246,Amapá,AP,Costela Verde,Condomínio Ribeiro
247,Amapá,AP,Costela Verde,Rodovia Luiza Nogueira
248,Amapá,AP,Costela Verde,Trevo da Conceição
249,Amapá,AP,Costela Verde,Esplanada Alana Fernandes
250,Amapá,AP,Costela Verde,Colônia Ferreira
251,Amapá,AP,Fernandes de Castro,Condomínio de da Luz
252,Amapá,AP,Fernandes de Castro,Trecho Ana Vitória Lima
253,Amapá,AP,Fernandes de Castro,Praia da Costa
254,Amapá,AP,Fernandes de Castro,Área de Silva
255,Amapá,AP,Fernandes de Castro,Chácara Bianca Duarte
256,Amapá,AP,Moraes de Minas,Travessa de Sales
257,Amapá,AP,Moraes de Minas,Esplanada Davi Lucca Rodrigues
258,Amapá,AP,Moraes de Minas,Área Farias
259,Amapá,AP,Moraes de Minas,Loteamento da Rocha
260,Amapá,AP,Moraes de Minas,Rodovia de da Cunha
261,Amapá,AP,Sales,Morro Rodrigues
262,Amapá,AP,Sales,Campo de Martins
263,Amapá,AP,Sales,Condomínio Daniel Sales
264,Amapá,AP,Sales,Viela de Aragão
265,Amapá,AP,Sales,Chácara Ian Caldeira
266,Amapá,AP,Aragão das Flores,Trevo Ramos
267,Amapá,AP,Aragão das Flores,Estação Campos
268,Amapá,AP,Aragão das Flores,Vereda Pedro Miguel Teixeira
269,Amapá,AP,Aragão das Flores,Loteamento Freitas
270,Amapá,AP,Aragão das Flores,Pátio de Correia
271,Amapá,AP,Castro,Vereda de Araújo
272,Amapá,AP,Castro,Quadra de Cavalcanti
273,Amapá,AP,Castro,Praia Viana
274,Amapá,AP,Castro,Condomínio de Costa
275,Amapá,AP,Castro,Avenida Pinto
276,Amapá,AP,Gomes de Nascimento,Aeroporto Barros
277,Amapá,AP,Gomes de Nascimento,Quadra Costa
278,Amapá,AP,Gomes de Nascimento,Lagoa de Rodrigues
279,Amapá,AP,Gomes de Nascimento,Via Sofia Viana
280,Amapá,AP,Gomes de Nascimento,Rodovia Castro
281,Amapá,AP,Ramos do Sul,Travessa Isabel Duarte
282,Amapá,AP,Ramos do Sul,Travessa Caio Santos
283,Amapá,AP,Ramos do Sul,Núcleo Moreira
284,Amapá,AP,Ramos do Sul,Pátio Castro
285,Amapá,AP,Ramos do Sul,Residencial Nicolas da Mata
286,Amapá,AP,Aragão da Praia,Lago Vitor Castro
287,Amapá,AP,Aragão da Praia,Avenida de Rodrigues
288,Amapá,AP,Aragão da Praia,Estrada Oliveira
289,Amapá,AP,Aragão da Praia,Loteamento Santos
290,Amapá,AP,Aragão da Praia,Trevo Breno Ribeiro
291,Amapá,AP,Barros das Pedras,Recanto Renan Santos
292,Amapá,AP,Barros das Pedras,Vila de Teixeira
293,Amapá,AP,Barros das Pedras,Quadra Luana Azevedo
294,Amapá,AP,Barros das Pedras,Área de Correia
295,Amapá,AP,Barros das Pedras,Praça de Martins
296,Amapá,AP,da Mota,Fazenda Santos
297,Amapá,AP,da Mota,Jardim Ana Sophia Novaes
298,Amapá,AP,da Mota,Aeroporto de Cunha
299,Amapá,AP,da Mota,Lago Maria Clara Silva
300,Amapá,AP,da Mota,Recanto Augusto Azevedo
301,Amazonas,AM,Cunha de Goiás,Aeroporto João Guilherme Rocha
302,Amazonas,AM,Cunha de Goiás,Núcleo Amanda Campos
303,Amazonas,AM,Cunha de Goiás,Aeroporto Vieira
304,Amazonas,AM,Cunha de Goiás,Via Luiza Rocha
305,Amazonas,AM,Cunha de Goiás,Morro de Fogaça
306,Amazonas,AM,Ferreira de Dias,Feira Gabriela Martins
307,Amazonas,AM,Ferreira de Dias,Conjunto de Souza
308,Amazonas,AM,Ferreira de Dias,Estrada Freitas
309,Amazonas,AM,Ferreira de Dias,Avenida da Cunha
310,Amazonas,AM,Ferreira de Dias,Sítio Ana Lívia Barros
311,Amazonas,AM,Melo,Recanto de Cunha
312,Amazonas,AM,Melo,Campo Oliveira
313,Amazonas,AM,Melo,Esplanada João Gabriel Fogaça
314,Amazonas,AM,Melo,Condomínio Melo
315,Amazonas,AM,Melo,Jardim Maysa Farias
316,Amazonas,AM,Vieira,Ladeira da Mota
317,Amazonas,AM,Vieira,Esplanada Alves
318,Amazonas,AM,Vieira,Praia João Vitor da Rosa
319,Amazonas,AM,Vieira,Estação de Sales
320,Amazonas,AM,Vieira,Loteamento de Moreira
321,Amazonas,AM,Alves da Serra,Conjunto Araújo
322,Amazonas,AM,Alves da Serra,Lago Lopes
323,Amazonas,AM,Alves da Serra,Largo Lima
324,Amazonas,AM,Alves da Serra,Alameda de Cardoso
325,Amazonas,AM,Alves da Serra,Campo de Costa
326,Amazonas,AM,da Mata,Núcleo Thales Jesus
327,Amazonas,AM,da Mata,Feira Gomes
328,Amazonas,AM,da Mata,Condomínio de Pinto
329,Amazonas,AM,da Mata,Chácara de Farias
330,Amazonas,AM,da Mata,Vale Farias
331,Amazonas,AM,Caldeira Alegre,Avenida Teixeira
332,Amazonas,AM,Caldeira Alegre,Estação Fernandes
333,Amazonas,AM,Caldeira Alegre,Recanto da Cunha
334,Amazonas,AM,Caldeira Alegre,Sítio Gabriela Souza
335,Amazonas,AM,Caldeira Alegre,Ladeira de Cardoso
336,Amazonas,AM,Pinto do Amparo,Pátio Clarice Melo
337,Amazonas,AM,Pinto do Amparo,Lago Kaique da Paz
338,Amazonas,AM,Pinto do Amparo,Pátio de Cavalcanti
339,Amazonas,AM,Pinto do Amparo,Largo Enzo Ferreira
340,Amazonas,AM,Pinto do Amparo,Jardim de Rodrigues
341,Amazonas,AM,Porto de Goiás,Vila Silva
342,Amazonas,AM,Porto de Goiás,Trevo da Conceição
343,Amazonas,AM,Porto de Goiás,Alameda de da Rosa
344,Amazonas,AM,Porto de Goiás,Condomínio Farias
345,Amazonas,AM,Porto de Goiás,Núcleo Correia
346,Amazonas,AM,Rocha do Sul,Vila Maria Martins
347,Amazonas,AM,Rocha do Sul,Viela Eduardo Mendes
348,Amazonas,AM,Rocha do Sul,Sítio Clara Farias
349,Amazonas,AM,Rocha do Sul,Conjunto Monteiro
350,Amazonas,AM,Rocha do Sul,Trevo Silveira
351,Amazonas,AM,Almeida Grande,Trevo de da Rocha
352,Amazonas,AM,Almeida Grande,Quadra de da Conceição
353,Amazonas,AM,Almeida Grande,Lagoa Alves
354,Amazonas,AM,Almeida Grande,Largo Brenda Alves
355,Amazonas,AM,Almeida Grande,Lagoa Clara Rodrigues
356,Amazonas,AM,Jesus,Trecho Rafael Martins
357,Amazonas,AM,Jesus,Morro de Teixeira
358,Amazonas,AM,Jesus,Lago Dias
359,Amazonas,AM,Jesus,Lago Maria Luiza Santos
360,Amazonas,AM,Jesus,Vila Pedro Lucas Campos
361,Amazonas,AM,Silva,Trevo Eloah Fernandes
362,Amazonas,AM,Silva,Vale de Cunha
363,Amazonas,AM,Silva,Travessa de Silveira
364,Amazonas,AM,Silva,Pátio de Costa
365,Amazonas,AM,Silva,Pátio Gomes
366,Amazonas,AM,Ramos da Serra,Favela de Fernandes
367,Amazonas,AM,Ramos da Serra,Rodovia Helena Dias
368,Amazonas,AM,Ramos da Serra,Favela da Cruz
369,Amazonas,AM,Ramos da Serra,Esplanada Luiz Miguel Rocha
370,Amazonas,AM,Ramos da Serra,Passarela Vinicius Lima
371,Amazonas,AM,da Cunha do Galho,Fazenda Novaes
372,Amazonas,AM,da Cunha do Galho,Área Farias
373,Amazonas,AM,da Cunha do Galho,Recanto de Pereira
374,Amazonas,AM,da Cunha do Galho,Vereda de Fogaça
375,Amazonas,AM,da Cunha do Galho,Área Davi Almeida
376,Amazonas,AM,Moura,Loteamento Silva
377,Amazonas,AM,Moura,Estação Mendes
378,Amazonas,AM,Moura,Feira da Luz
379,Amazonas,AM,Moura,Campo Porto
380,Amazonas,AM,Moura,Aeroporto Larissa Mendes
381,Amazonas,AM,Monteiro de Rezende,Viela Araújo
382,Amazonas,AM,Monteiro de Rezende,Núcleo Porto
383,Amazonas,AM,Monteiro de Rezende,Sítio Carvalho
384,Amazonas,AM,Monteiro de Rezende,Feira Cunha
385,Amazonas,AM,Monteiro de Rezende,Jardim Viana
386,Amazonas,AM,Pinto de Duarte,Esplanada Bruno Cardoso
387,Amazonas,AM,Pinto de Duarte,Travessa Lucas Gabriel Campos
388,Amazonas,AM,Pinto de Duarte,Núcleo Nogueira
389,Amazonas,AM,Pinto de Duarte,Passarela de Caldeira
390,Amazonas,AM,Pinto de Duarte,Sítio de da Rocha
391,Amazonas,AM,da Costa,Recanto Bernardo Barbosa
392,Amazonas,AM,da Costa,Esplanada Vieira
393,Amazonas,AM,da Costa,Via Gomes
394,Amazonas,AM,da Costa,Conjunto Silva
395,Amazonas,AM,da Costa,Campo Costa
396,Amazonas,AM,Cunha,Loteamento Cunha
397,Amazonas,AM,Cunha,Fazenda de Campos
398,Amazonas,AM,Cunha,Condomínio João Gabriel Peixoto
399,Amazonas,AM,Cunha,Viaduto Jesus
400,Amazonas,AM,Cunha,Campo de Lopes
401,Bahia,BA,Pereira de Minas,Passarela Aragão
402,Bahia,BA,Pereira de Minas,Travessa Yuri Freitas
403,Bahia,BA,Pereira de Minas,Esplanada de Souza
404,Bahia,BA,Pereira de Minas,Trevo Monteiro
405,Bahia,BA,Pereira de Minas,Distrito de Cavalcanti
406,Bahia,BA,Ramos Paulista,Residencial de da Cruz
407,Bahia,BA,Ramos Paulista,Estação de Caldeira
408,Bahia,BA,Ramos Paulista,Setor de Moura
409,Bahia,BA,Ramos Paulista,Conjunto de Viana
410,Bahia,BA,Ramos Paulista,Feira Maria Luiza Pires
411,Bahia,BA,das Neves da Prata,Trecho Almeida
412,Bahia,BA,das Neves da Prata,Distrito Joaquim Nunes
413,Bahia,BA,das Neves da Prata,Aeroporto de Farias
414,Bahia,BA,das Neves da Prata,Praia Silveira
415,Bahia,BA,das Neves da Prata,Travessa João Miguel da Costa
416,Bahia,BA,Caldeira Paulista,Lagoa da Paz
417,Bahia,BA,Caldeira Paulista,Conjunto da Cruz
418,Bahia,BA,Caldeira Paulista,Favela Sales
419,Bahia,BA,Caldeira Paulista,Parque Moreira
420,Bahia,BA,Caldeira Paulista,Travessa Gabriel Nogueira
421,Bahia,BA,Pereira,Passarela Duarte
422,Bahia,BA,Pereira,Condomínio Correia
423,Bahia,BA,Pereira,Favela Isaac Farias
424,Bahia,BA,Pereira,Alameda Cardoso
425,Bahia,BA,Pereira,Rua Ramos
426,Bahia,BA,Freitas,Favela de Carvalho
427,Bahia,BA,Freitas,Vale de Campos
428,Bahia,BA,Freitas,Pátio de Barbosa
429,Bahia,BA,Freitas,Fazenda da Luz
430,Bahia,BA,Freitas,Área Nascimento
431,Bahia,BA,Almeida,Lago Sales
432,Bahia,BA,Almeida,Pátio de Duarte
433,Bahia,BA,Almeida,Morro Barros
434,Bahia,BA,Almeida,Vale Farias
435,Bahia,BA,Almeida,Quadra João Cardoso
436,Bahia,BA,Peixoto,Loteamento Melo
437,Bahia,BA,Peixoto,Setor Barros
438,Bahia,BA,Peixoto,Recanto de da Cruz
439,Bahia,BA,Peixoto,Conjunto Oliveira
440,Bahia,BA,Peixoto,Rua Rocha
441,Bahia,BA,Lopes de Carvalho,Avenida Davi Lucca da Costa
442,Bahia,BA,Lopes de Carvalho,Aeroporto Heloísa da Rosa
443,Bahia,BA,Lopes de Carvalho,Viaduto Pereira
444,Bahia,BA,Lopes de Carvalho,Viela de Castro
445,Bahia,BA,Lopes de Carvalho,Residencial Melo
446,Bahia,BA,Melo,Ladeira Silveira
447,Bahia,BA,Melo,Favela de Rocha
448,Bahia,BA,Melo,Morro Freitas
449,Bahia,BA,Melo,Largo Ian Peixoto
450,Bahia,BA,Melo,Lago Fernanda da Paz
451,Bahia,BA,Rezende do Campo,Favela de Ramos
452,Bahia,BA,Rezende do Campo,Trecho Caio Moreira
453,Bahia,BA,Rezende do Campo,Largo Cardoso
454,Bahia,BA,Rezende do Campo,Recanto Alícia Moraes
455,Bahia,BA,Rezende do Campo,Lago de Pires
456,Bahia,BA,Araújo das Pedras,Colônia Ferreira
457,Bahia,BA,Araújo das Pedras,Trevo Carvalho
458,Bahia,BA,Araújo das Pedras,Pátio de Farias
459,Bahia,BA,Araújo das Pedras,Parque de da Rosa
460,Bahia,BA,Araújo das Pedras,Alameda de Castro
461,Bahia,BA,da Rosa,Parque da Conceição
462,Bahia,BA,da Rosa,Chácara Moreira
463,Bahia,BA,da Rosa,Favela Ana Cardoso
464,Bahia,BA,da Rosa,Viaduto de Viana
465,Bahia,BA,da Rosa,Estação Mariane da Rocha
466,Bahia,BA,da Conceição,Fazenda Oliveira
467,Bahia,BA,da Conceição,Jardim da Cruz
468,Bahia,BA,da Conceição,Ladeira Cardoso
469,Bahia,BA,da Conceição,Campo Raul Barros
470,Bahia,BA,da Conceição,Recanto Carlos Eduardo Caldeira
471,Bahia,BA,das Neves,Área Teixeira
472,Bahia,BA,das Neves,Jardim Cauê Araújo
473,Bahia,BA,das Neves,Estrada de Nunes
474,Bahia,BA,das Neves,Trecho de Martins
475,Bahia,BA,das Neves,Parque de da Rosa
476,Bahia,BA,da Rocha,Fazenda Ramos
477,Bahia,BA,da Rocha,Estrada Luiz Otávio Cunha
478,Bahia,BA,da Rocha,Esplanada de Araújo
479,Bahia,BA,da Rocha,Chácara de Viana
480,Bahia,BA,da Rocha,Colônia Nunes
481,Bahia,BA,Rezende,Vale Laís Correia
482,Bahia,BA,Rezende,Favela Freitas
483,Bahia,BA,Rezende,Trecho de Barbosa
484,Bahia,BA,Rezende,Conjunto de Ferreira
485,Bahia,BA,Rezende,Recanto Melo
486,Bahia,BA,Caldeira,Estrada de Melo
487,Bahia,BA,Caldeira,Vereda de Pinto
488,Bahia,BA,Caldeira,Aeroporto de Souza
